Wall time,Step,Value
1573534887.4728851,2170,-1.0
1573534889.3135746,2172,-1.0
1573534889.9435806,2174,-1.0
1573534892.4060898,2178,-1.0
1573534901.7189581,2188,-1.0
1573534902.5110984,2190,-1.0
1573534904.7221563,2192,-1.0
1573534905.2302613,2193,1.0
1573534909.8563402,2197,-1.0
1573534910.7321174,2200,-1.0
1573534920.8692167,2208,1.0
1573534924.06311,2212,-1.0
1573534932.4895751,2226,-1.0
1573534935.0881534,2230,-1.0
1573534937.851447,2232,-1.0
1573534940.984619,2237,-1.0
1573534943.16967,2238,-1.0
1573534943.6909606,2240,-1.0
1573534943.9036021,2242,-1.0
1573534945.4724064,2243,-1.0
1573534946.0255995,2245,-1.0
1573534948.5254028,2247,-1.0
1573534949.0516226,2248,-1.0
1573534955.5205867,2255,-1.0
1573534956.3461473,2258,-1.0
1573534960.8578136,2263,-1.0
1573534976.8466516,2282,-1.0
1573534983.8203776,2292,-1.0
1573534988.21506,2298,-1.0
1573534990.5042043,2301,-1.0
1573534993.3757243,2304,-1.0
1573534996.0004022,2307,-1.0
1573534998.3193448,2308,-1.0
1573534998.8696125,2309,-1.0
1573535007.2279923,2319,-1.0
1573535007.5188358,2320,-1.0
1573535007.7643275,2321,-1.0
1573535009.7793388,2323,-1.0
1573535018.4544735,2335,-1.0
1573535018.605169,2336,-1.0
1573535020.914349,2338,-1.0
1573535024.0401943,2346,-1.0
1573535029.9160092,2355,-1.0
1573535040.9081557,2372,-1.0
1573535049.5956223,2386,1.0
1573535052.913398,2390,-1.0
1573535055.413412,2391,-1.0
1573535055.9863918,2393,1.0
1573535064.290846,2401,-1.0
1573535066.8398395,2403,0.0
1573535069.8445258,2407,-1.0
1573535078.225189,2417,-1.0
1573535085.2746727,2425,-1.0
1573535085.4800413,2426,1.0
1573535098.73707,2437,-1.0
1573535107.998883,2445,-1.0
1573535113.6434412,2451,-1.0
1573535113.7177722,2452,-1.0
1573535114.1629,2454,-1.0
1573535116.984135,2456,-1.0
1573535121.785674,2461,1.0
1573535145.2713506,2480,-1.0
1573535152.4227116,2486,0.0
1573535156.4073243,2487,-1.0
1573535163.1981325,2497,-1.0
1573535166.395789,2499,-1.0
1573535172.1664577,2503,-1.0
1573535176.822045,2504,-1.0
1573535188.2355967,2515,-1.0
1573535191.1146154,2518,1.0
1573535196.6213882,2524,-1.0
1573535201.0024464,2529,-1.0
1573535204.321957,2531,-1.0
1573535207.706001,2533,-1.0
1573535210.2351465,2535,-1.0
1573535220.2554874,2544,-1.0
1573535226.5628607,2548,-1.0
1573535229.7886345,2552,-1.0
1573535230.2706106,2554,-1.0
1573535233.459914,2557,-1.0
1573535243.0878813,2566,-1.0
1573535243.2918088,2567,-1.0
1573535253.6047966,2577,-1.0
1573535258.0438662,2579,-1.0
1573535270.1329334,2591,-1.0
1573535272.988212,2592,-1.0
1573535273.5328617,2593,-1.0
1573535277.5534256,2597,1.0
1573535280.6911123,2601,-1.0
1573535286.507623,2607,-1.0
1573535286.8109396,2608,1.0
1573535290.2948015,2611,-1.0
1573535307.733089,2624,-1.0
1573535310.5339618,2627,-1.0
1573535314.4254425,2630,-1.0
1573535314.6548867,2631,-1.0
1573535324.7236316,2639,-1.0
1573535332.5104535,2645,-1.0
1573535339.7284245,2651,-1.0
1573535346.2788024,2656,-1.0
1573535364.7062578,2675,-1.0
1573535368.7858136,2679,-1.0
1573535371.8242247,2681,-1.0
1573535378.4808338,2686,-1.0
1573535388.0571632,2691,-1.0
1573535407.033037,2704,-1.0
1573535413.6696281,2708,-1.0
1573535416.8191159,2711,-1.0
1573535439.4144723,2726,-1.0
1573535454.0226974,2737,-1.0
1573535454.108385,2738,-1.0
1573535457.826055,2741,-1.0
1573535462.7011123,2747,-1.0
1573535474.0315049,2754,-1.0
1573535474.8380141,2755,-1.0
1573535478.6339269,2756,-1.0
1573535479.25247,2757,-1.0
1573535481.8759866,2758,-1.0
1573535489.5344477,2767,-1.0
1573535519.7853014,2790,-1.0
1573535520.154857,2791,-1.0
1573535520.2282753,2792,-1.0
1573535531.6573122,2799,-1.0
1573535546.53538,2810,-1.0
1573535549.2506647,2812,-1.0
1573535561.0827312,2824,-1.0
1573535563.4401784,2825,-1.0
1573535567.084437,2828,-1.0
1573535567.4193037,2830,-1.0
1573535570.6993961,2831,-1.0
1573535571.4501905,2833,-1.0
1573535589.5801692,2852,-1.0
1573535596.9822092,2857,0.0
1573535600.2019339,2860,-1.0
1573535603.810834,2863,-1.0
1573535614.6479297,2872,-1.0
1573535614.7870085,2873,-1.0
1573535622.775145,2879,-1.0
1573535627.160387,2881,-1.0
1573535627.4949746,2882,-1.0
1573535634.020125,2888,-1.0
1573535637.2983372,2891,-1.0
1573535644.5474868,2897,-1.0
1573535647.7996562,2899,-1.0
1573535651.4399014,2901,-1.0
1573535656.8835368,2904,-1.0
1573535676.4957933,2918,-1.0
1573535677.2387736,2920,1.0
1573535683.577955,2921,-1.0
1573535683.947691,2922,-1.0
1573535697.3173301,2933,-1.0
1573535713.5529642,2943,-1.0
1573535724.1071107,2951,-1.0
1573535744.918327,2968,-1.0
1573535748.896095,2975,-1.0
1573535751.8326805,2976,1.0
1573535756.192982,2979,-1.0
1573535766.7115486,2989,-1.0
1573535773.7017264,2995,1.0
1573535777.5465274,2999,-1.0
1573535782.850366,3004,1.0
1573535786.301632,3006,-1.0
1573535790.395898,3008,1.0
1573535794.372624,3010,-1.0
1573535797.7061727,3012,-1.0
1573535801.775517,3016,-1.0
1573535802.2678525,3017,-1.0
1573535809.079269,3020,1.0
1573535813.5116878,3026,1.0
1573535816.7722497,3028,-1.0
1573535820.8010428,3031,1.0
1573535834.015628,3039,-1.0
1573535837.227966,3041,-1.0
1573535837.7048044,3042,1.0
1573535842.0056114,3043,-1.0
1573535846.1833844,3051,-1.0
1573535865.4843066,3066,-1.0
1573535866.2707076,3068,1.0
1573535870.0675077,3070,-1.0
1573535873.4030228,3072,-1.0
1573535877.2037222,3074,-1.0
1573535888.933939,3083,1.0
1573535893.0197222,3087,-1.0
1573535910.2870455,3100,-1.0
1573535914.744035,3104,-1.0
1573535942.6052573,3123,-1.0
1573535955.832923,3138,1.0
1573535956.555014,3139,0.0
1573535966.8203778,3145,-1.0
1573535967.3355644,3146,-1.0
1573535971.0116081,3148,-1.0
1573535980.6456406,3151,-1.0
1573535987.441772,3156,1.0
1573535988.238437,3160,-1.0
1573535991.6678472,3162,0.0
1573536014.234787,3178,-1.0
1573536019.336908,3185,-1.0
1573536025.7924216,3189,-1.0
1573536033.3418393,3196,-1.0
1573536033.6807032,3197,-1.0
1573536040.5369017,3204,1.0
1573536041.3040576,3207,-1.0
1573536074.665983,3231,-1.0
1573536078.3081443,3234,-1.0
1573536086.9619212,3241,-1.0
1573536091.3591044,3244,-1.0
1573536091.5291393,3245,-1.0
1573536094.4547873,3247,-1.0
1573536094.7164445,3248,-1.0
1573536107.715604,3255,-1.0
1573536121.9925756,3268,-1.0
1573536129.4888613,3273,-1.0
1573536138.3783584,3282,1.0
1573536141.2784405,3284,-1.0
1573536141.9518986,3286,-1.0
1573536149.592214,3293,-1.0
1573536166.6236641,3306,-1.0
1573536167.130443,3308,-1.0
1573536174.2792432,3314,-1.0
1573536182.3166866,3322,-1.0
1573536192.4187639,3328,-1.0
1573536192.8923538,3329,-1.0
1573536193.2070749,3330,-1.0
1573536197.5184052,3334,1.0
1573536207.0229433,3339,-1.0
1573536211.3179884,3346,-1.0
1573536221.2852492,3354,-1.0
1573536224.7969062,3358,-1.0
1573536230.0605714,3362,1.0
1573536233.9269733,3364,-1.0
1573536240.7447157,3370,-1.0
1573536249.1320143,3375,-1.0
1573536249.7041843,3377,-1.0
1573536253.6645668,3379,-1.0
1573536257.2469423,3382,-1.0
1573536263.838607,3387,-1.0
1573536273.3890874,3399,-1.0
1573536284.637,3404,-1.0
1573536292.1842756,3409,-1.0
1573536313.8597326,3427,-1.0
1573536319.115055,3431,-1.0
1573536323.1868963,3434,-1.0
1573536330.706966,3439,-1.0
1573536338.7421167,3446,-1.0
1573536343.3718228,3450,-1.0
1573536343.8239343,3452,-1.0
1573536357.481077,3458,-1.0
1573536357.8356223,3459,-1.0
1573536362.1056533,3465,-1.0
1573536370.528744,3472,-1.0
1573536377.9925437,3478,-1.0
1573536382.1490889,3481,-1.0
1573536386.8428674,3487,-1.0
1573536397.2477906,3498,-1.0
1573536397.978974,3500,-1.0
1573536411.686303,3510,1.0
1573536415.2203846,3513,-1.0
1573536415.725951,3515,-1.0
1573536422.5741704,3520,-1.0
1573536445.5312362,3536,-1.0
1573536450.0437706,3538,0.0
1573536457.5589023,3543,-1.0
1573536457.7079325,3544,-1.0
1573536462.0728343,3548,-1.0
1573536462.772537,3550,-1.0
1573536469.8805232,3556,-1.0
1573536470.449712,3557,-1.0
1573536477.991378,3564,1.0
1573536485.9082701,3576,-1.0
1573536489.9104464,3581,-1.0
1573536506.434869,3593,-1.0
1573536507.0221562,3594,-1.0
1573536518.456802,3600,-1.0
1573536518.551844,3601,-1.0
1573536531.083509,3615,-1.0
1573536534.8683195,3619,1.0
1573536535.0870392,3621,-1.0
1573536539.8133311,3623,-1.0
1573536544.212702,3626,-1.0
1573536544.7731087,3629,-1.0
1573536557.0801253,3638,-1.0
1573536565.013078,3644,-1.0
1573536569.2489498,3646,-1.0
1573536580.4577913,3657,-1.0
1573536580.562349,3658,-1.0
1573536588.9190419,3664,1.0
1573536598.389449,3671,-1.0
1573536627.327511,3695,-1.0
1573536635.5279338,3701,-1.0
1573536638.9347832,3703,-1.0
1573536658.9789975,3724,-1.0
1573536668.1858084,3727,-1.0
1573536672.7710478,3731,-1.0
1573536676.3008413,3732,-1.0
1573536676.8834198,3733,-1.0
1573536685.189056,3739,-1.0
1573536688.837267,3742,-1.0
1573536689.3070667,3744,-1.0
1573536700.2967145,3753,-1.0
1573536712.2165403,3760,-1.0
1573536716.9321806,3765,0.0
1573536726.2022839,3773,-1.0
1573536730.7134318,3777,-1.0
1573536734.491607,3781,-1.0
1573536754.9636626,3794,-1.0
1573536758.4534414,3796,-1.0
1573536762.4437037,3799,1.0
1573536781.3234224,3811,-1.0
1573536787.277912,3815,-1.0
1573536791.073131,3820,-1.0
1573536794.6395175,3822,-1.0
1573536810.3935463,3832,-1.0
